onset	duration	trial_type
6.0	1.0	c102-109_57A
8.0	1.0	c102-109_57B
10.0	1.0	c79-97_86A
14.0	1.0	c79-97_86B
16.0	1.0	c40-20_43A
18.0	1.0	c40-20_43B
20.0	1.0	c47-34_29A
22.0	1.0	c47-34_29B
24.0	1.0	c17-85_14A
30.0	1.0	c17-85_14B
32.0	1.0	c56-68_0A
36.0	1.0	c56-68_0B
38.0	1.0	c83-101_100A
40.0	1.0	c83-101_100B
44.0	1.0	c11-5_71A
50.0	1.0	c11-5_71B
54.0	1.0	c102-109_57A
56.0	1.0	c102-109_57B
60.0	1.0	c17-85_14A
62.0	1.0	c17-85_14B
64.0	1.0	c79-97_86A
66.0	1.0	c79-97_86B
70.0	1.0	c11-5_71A
74.0	1.0	c11-5_71B
76.0	1.0	c56-68_0A
80.0	1.0	c56-68_0B
84.0	1.0	c83-101_100A
88.0	1.0	c83-101_100B
90.0	1.0	c47-34_29A
94.0	1.0	c47-34_29B
98.0	1.0	c40-20_43A
102.0	1.0	c40-20_43B
106.0	1.0	c11-5_71A
108.0	1.0	c11-5_71B
114.0	1.0	c79-97_86A
118.0	1.0	c79-97_86B
124.0	1.0	c40-20_43A
126.0	1.0	c40-20_43B
130.0	1.0	c17-85_14A
132.0	1.0	c17-85_14B
134.0	1.0	c47-34_29A
140.0	1.0	c47-34_29B
146.0	1.0	c102-109_57A
148.0	1.0	c102-109_57B
152.0	1.0	c56-68_0A
156.0	1.0	c56-68_0B
158.0	1.0	c83-101_100A
160.0	1.0	c83-101_100B
166.0	1.0	c56-68_0A
168.0	1.0	c56-68_0B
170.0	1.0	c83-101_100A
174.0	1.0	c83-101_100B
178.0	1.0	c17-85_14A
182.0	1.0	c17-85_14B
184.0	1.0	c102-109_57A
186.0	1.0	c102-109_57B
190.0	1.0	c79-97_86A
192.0	1.0	c79-97_86B
194.0	1.0	c40-20_43A
200.0	1.0	c40-20_43B
202.0	1.0	c11-5_71A
206.0	1.0	c11-5_71B
212.0	1.0	c47-34_29A
218.0	1.0	c47-34_29B
220.0	1.0	c79-97_86A
226.0	1.0	c79-97_86B
232.0	1.0	c83-101_100A
236.0	1.0	c83-101_100B
242.0	1.0	c17-85_14A
246.0	1.0	c17-85_14B
252.0	1.0	c11-5_71A
256.0	1.0	c11-5_71B
260.0	1.0	c102-109_57A
264.0	1.0	c102-109_57B
270.0	1.0	c47-34_29A
274.0	1.0	c47-34_29B
278.0	1.0	c40-20_43A
284.0	1.0	c40-20_43B
288.0	1.0	c56-68_0A
292.0	1.0	c56-68_0B
